Contrast,cluster,k cluster,max cluster,x,y,z,Region,k region,max region
,,,,,,,R. Medial temporal gyrus anterior,261,5.60
,,,,,,,R. Parahippocampal gyrus posterior,244,5.34
,,,,,,,R. Amygdala,220,3.91
,,,,,,,R. Supramarginal gyrus posterior,210,4.85
,,,,,,,L. Superior temporal gyrus anterior,197,5.72
,,,,,,,L. Cuneal cortex,193,3.88
,,,,,,,R. Superior temporal gyrus anterior,183,5.70
,,,,,,,L. Supracalcarine cortex,152,4.48
,,,,,,,R. Supracalcarine cortex,151,4.18
,,,,,,,L. Supramarginal gyrus posterior,125,4.58
,,,,,,,R. Parahippocampal gyrus anterior,111,3.96
,,,,,,,L. Medial temporal gyrus temporo-occipital,57,4.03
,,,,,,,L. Inferior temporal gyrus anterior,54,3.68
,,,,,,,R.  Inferior temporal gyrus posterior,41,4.09
,,,,,,,L. Inferior temporal gyrus temporo-occipital,37,3.66
,,,,,,,R. Thalamus,36,3.14
,,,,,,,L. Orbitofrontal cortex,30,3.05
,2,1148,4.28,50,89,58,,,
,,,,,,,L. Frontal pole,449,4.28
,,,,,,,R. Frontal pole,184,3.44
,,,,,,,L. Superior frontal gyrus,142,3.68
,3,656,4.79,46,96,31,,,
,,,,,,,L. Frontal pole,294,4.79
,,,,,,,R. Frontal pole,200,4.41
,,,,,,,L. Frontal medial cortex,67,3.86
,,,,,,,R. Frontal medial cortex,48,3.83
,4,340,3.48,57,55,27,,,
,,,,,,,L. Hippocampus,185,3.48
,,,,,,,L. Amgydala,181,3.30
,5,260,4.41,42,36,13,,,
,6,235,3.66,72,59,57,,,
,,,,,,,L. Precentral gyrus,185,3.66
,,,,,,,L. Postcentral gyrus,40,3.28
,,,,,,,L. Medial frontal gyrus,25,3.49
